"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"sourcetools","sourcetools","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1.7",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"sp","sp","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.4-5",NA,"R (>= 3.0.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, rgdal (>= 1.2-3), rgeos (>= 0.3-13), gstat,
maptools, deldir",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"spacetime","spacetime","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2-5",NA,"R (>= 3.0.0)","graphics, utils, stats, methods, lattice, sp (>= 1.1-0), zoo
(>= 1.7-9), xts (>= 0.8-8), intervals",NA,"adehabitatLT, cshapes (>= 2.0), foreign, gstat (>= 1.0-16),
maps, mapdata, maptools, plm, raster, RColorBrewer, rgdal,
rgeos, RPostgreSQL, knitr, googleVis, ISOcodes, markdown, sf",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"SparseM","SparseM","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.81",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"spatstat","spatstat","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.2-0",NA,"R (>= 3.5.0), spatstat.data (>= 2.1-0), spatstat.geom (>=
2.2-0), spatstat.core (>= 2.2-0), spatstat.linnet (>= 2.2-0),
utils","spatstat.utils (>= 2.2-0)",NA,"",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"spatstat.core","spatstat.core","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.3-1.006",NA,"R (>= 3.5.0), spatstat.data (>= 2.1-0), spatstat.geom (>=
2.3-0), stats, graphics, grDevices, utils, methods, nlme, rpart","spatstat.utils (>= 2.2-0), spatstat.sparse (>= 2.0-0), mgcv,
Matrix, abind, tensor, goftest (>= 1.2-2)",NA,"sm, maptools (>= 0.9-9), gsl, locfit, spatial, RandomFields
(>= 3.1.24.1), RandomFieldsUtils(>= 0.3.3.1), fftwtools (>=
0.9-8), nleqslv, spatstat.linnet (>= 2.0-0), spatstat (>=
2.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"spatstat.data","spatstat.data","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.1-1",NA,"R (>= 3.5.0)","spatstat.utils (>= 2.1-0), Matrix",NA,"spatstat.geom, spatstat.core, spatstat.linnet",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"spatstat.geom","spatstat.geom","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.3-0.007",NA,"R (>= 3.5.0), spatstat.data (>= 2.0-0), stats, graphics,
grDevices, utils, methods","spatstat.utils (>= 2.2-0), deldir (>= 1.0-2), polyclip (>=
1.10-0)",NA,"spatstat.core, spatstat.linnet, maptools (>= 0.9-9), spatial,
fftwtools (>= 0.9-8), spatstat (>= 2.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"spatstat.linnet","spatstat.linnet","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.3-0",NA,"R (>= 3.5.0), spatstat.data (>= 2.1-0), spatstat.geom (>=
2.2-2), spatstat.core (>= 2.3-0), stats, graphics, grDevices,
methods, utils","spatstat.utils (>= 2.2-0), Matrix, spatstat.sparse (>= 2.0)",NA,"goftest, locfit, spatstat (>= 2.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"spatstat.random","spatstat.random","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.0-0",NA,"R (>= 3.5.0), spatstat.data (>= 2.1-0), spatstat.geom (>=
2.3-0), stats, utils, methods, grDevices","spatstat.utils (>= 2.2-0), spatstat.sparse (>= 2.0-0)",NA,"spatial, RandomFields (>= 3.1.24.1), RandomFieldsUtils(>=
0.3.3.1), spatstat.linnet (>= 2.0-0), spatstat.core (>= 2.3-2),
spatstat (>= 2.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"spatstat.sparse","spatstat.sparse","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.0-0",NA,"R (>= 3.5.0), stats, utils, methods, Matrix, abind, tensor","spatstat.utils (>= 2.1-0)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"spatstat.utils","spatstat.utils","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.2-0.005",NA,"R (>= 3.3.0), stats, graphics, grDevices, utils, methods",NA,NA,"spatstat.core",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"splancs","splancs","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.01-42",NA,"R (>= 2.10.0), sp (>= 0.9)","stats, graphics, grDevices, methods",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"SQUAREM","SQUAREM","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2021.1",NA,"R (>= 3.0)",NA,NA,"setRNG",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"StanHeaders","StanHeaders","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.21.0-7",NA,"R (>= 3.4.0)","RcppParallel (>= 5.0.1)","RcppEigen, RcppParallel (>= 5.0.1)","Rcpp, BH, knitr (>= 1.15.1), rmarkdown, Matrix, methods,
rstan",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"stars","stars","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.5-5",NA,"R (>= 3.3.0), abind, sf (>= 1.0.3)","methods, parallel, classInt (>= 0.4-1), lwgeom, rlang, units",NA,"PCICt, RNetCDF (>= 1.8-2), clue, covr, cubelyr, digest, dplyr
(>= 0.7-0), exactextractr, future.apply, ggforce, ggplot2,
ggthemes, gstat, httr, jsonlite, knitr, maps, mapdata,
ncdfgeom, ncmeta (>= 0.0.3), pbapply, plm, randomForest,
raster, rgdal, rmarkdown, sp, spacetime, spatstat (>= 2.0-1),
spatstat.geom, starsdata, terra (>= 1.4-22), testthat, tidyr,
viridis, xts, zoo",NA,"Apache License",NA,NA,NA,NA,"no","4.0.3"
"startupmsg","startupmsg","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.9.6",NA,"R(>= 1.8.0)",NA,NA,NA,NA,"LGPL-3",NA,NA,NA,NA,"no","4.0.0"
"statmod","statmod","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.4.36",NA,"R (>= 3.0.0)","stats, graphics",NA,"MASS, tweedie",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"StratigrapheR","StratigrapheR","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2.4",NA,"R (>= 4.0.0)","graphics, grDevices, XML, stats, utils, dplyr (>= 1.0.0),
stringr, shiny, diagram, reshape",NA,"astrochron, RFOC, tidyverse, plyr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"stringdist","stringdist","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.9.8",NA,"R (>= 2.15.3)","parallel",NA,"tinytest",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"stringi","stringi","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.7.5",NA,"R (>= 3.1)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.0.3"
"stringr","stringr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.4.0",NA,"R (>= 3.1)","glue (>= 1.2.0), magrittr, stringi (>= 1.1.7)",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"sustfarmld","sustfarmld","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.0-1",NA,NA,"maptools,
raster,
lubridate,
readxl,
testthat,
dplyr,
ncdf4",NA,"arrangements,
Rfast,
sf,
parallel,
runjags,
ggplot2,
car,
odbc,
sp,
corrplot",NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.0.2"
"svglite","svglite","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.0.0",NA,"R (>= 3.0.0)","systemfonts (>= 1.0.0)","cpp11, systemfonts","htmltools, testthat, xml2 (>= 1.0.0), covr, fontquiver (>=
0.2.0), knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"sys","sys","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","3.4",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"systemfonts","systemfonts","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0.2",NA,"R (>= 3.2.0)",NA,"cpp11 (>= 0.2.1)","testthat (>= 2.1.0), covr, knitr, rmarkdown, tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"TAM","TAM","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","3.7-16",NA,"R (>= 2.15.1), CDM (>= 6.4-19)","graphics, methods, Rcpp, stats, utils","Rcpp, RcppArmadillo","coda, GPArotation, grDevices, lattice, lavaan, MASS,
miceadds, mvtnorm, plyr, psych, sfsmisc, sirt, splines,
WrightMap","LSAmitR","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"tensor","tensor","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.5",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.0.0"
"tensorA","tensorA","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.36.2",NA,"R (>= 2.2.0), stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"Ternary","Ternary","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.0.0",NA,"R (>= 3.2.0)","shiny, viridisLite,",NA,"colourpicker, knitr, readxl, rmarkdown, shinyjs, spelling,
testthat (>= 3.0), vdiffr,",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"terra","terra","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.4-11",NA,"R (>= 3.5.0)","methods, Rcpp","Rcpp","parallel, tinytest, ncdf4, sf (>= 0.9-8), deldir, raster",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.3"
"testthat","testthat","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","3.1.0",NA,"R (>= 3.1)","brio, callr (>= 3.5.1), cli (>= 2.2.0), crayon (>= 1.3.4),
desc, digest, ellipsis (>= 0.2.0), evaluate, jsonlite,
lifecycle, magrittr, methods, pkgload, praise, processx, ps (>=
1.3.4), R6 (>= 2.2.0), rlang (>= 0.4.9), utils, waldo (>=
0.2.4), withr (>= 2.3.0)",NA,"covr, curl (>= 0.9.5), diffviewer (>= 0.1.0), knitr, mockery,
rmarkdown, rstudioapi, shiny, usethis, vctrs (>= 0.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"threejs","threejs","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.3.3",NA,"R (>= 3.0.0), igraph (>= 1.0.0)","htmlwidgets (>= 0.3.2), base64enc, crosstalk, methods, stats",NA,"maps","knitr, shiny","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"tibble","tibble","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","3.1.5",NA,"R (>= 3.1.0)","ellipsis (>= 0.3.2), fansi (>= 0.4.0), lifecycle (>= 1.0.0),
magrittr, methods, pillar (>= 1.6.2), pkgconfig, rlang (>=
0.4.3), utils, vctrs (>= 0.3.8)",NA,"bench, bit64, blob, brio, callr, cli, covr, crayon (>=
1.3.4), DiagrammeR, dplyr, evaluate, formattable, ggplot2, hms,
htmltools, knitr, lubridate, mockr, nycflights13, pkgbuild,
pkgload, purrr, rmarkdown, stringi, testthat (>= 3.0.2), tidyr,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"tidyr","tidyr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1.4",NA,"R (>= 3.1)","dplyr (>= 0.8.2), ellipsis (>= 0.1.0), glue, lifecycle,
magrittr, purrr, rlang, tibble (>= 2.1.1), tidyselect (>=
1.1.0), utils, vctrs (>= 0.3.6)","cpp11 (>= 0.2.6)","covr, data.table, jsonlite, knitr, readr, repurrrsive (>=
1.0.0), rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"tidyselect","tidyselect","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1.1",NA,"R (>= 3.2)","ellipsis, glue (>= 1.3.0), purrr (>= 0.3.2), rlang (>= 0.4.6),
vctrs (>= 0.3.0)",NA,"covr, crayon, dplyr, knitr, magrittr, rmarkdown, testthat (>=
2.3.0), tibble (>= 2.1.3), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"tidyverse","tidyverse","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.3.1",NA,"R (>= 3.3)","broom (>= 0.7.6), cli (>= 2.4.0), crayon (>= 1.4.1), dbplyr
(>= 2.1.1), dplyr (>= 1.0.5), dtplyr (>= 1.1.0), forcats (>=
0.5.1), googledrive (>= 1.0.1), googlesheets4 (>= 0.3.0),
ggplot2 (>= 3.3.3), haven (>= 2.3.1), hms (>= 1.0.0), httr (>=
1.4.2), jsonlite (>= 1.7.2), lubridate (>= 1.7.10), magrittr
(>= 2.0.1), modelr (>= 0.1.8), pillar (>= 1.6.0), purrr (>=
0.3.4), readr (>= 1.4.0), readxl (>= 1.3.1), reprex (>= 2.0.0),
rlang (>= 0.4.10), rstudioapi (>= 0.13), rvest (>= 1.0.0),
stringr (>= 1.4.0), tibble (>= 3.1.0), tidyr (>= 1.1.3), xml2
(>= 1.3.2)",NA,"covr, feather, glue, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"tiff","tiff","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1-8",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"timeDate","timeDate","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","3043.102",NA,"R (>= 2.15.1), graphics, utils, stats, methods",NA,NA,"date, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"tinytex","tinytex","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.34",NA,NA,"xfun (>= 0.23)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"tippy","tippy","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1.0",NA,"R (>= 3.4.0)","htmlwidgets, htmltools, shiny, jsonlite",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"tm","tm","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.7-8",NA,"R (>= 3.2.0), NLP (>= 0.2-0)","Rcpp, parallel, slam (>= 0.1-37), stats, tools, utils,
graphics, xml2","BH, Rcpp","antiword, filehash, methods, pdftools, Rcampdf, Rgraphviz,
Rpoppler, SnowballC, testthat, tm.lexicon.GeneralInquirer",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"TMB","TMB","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.7.22",NA,"R (>= 3.0.0)","graphics, methods, stats, utils, Matrix (>= 1.0-12)","Matrix, RcppEigen","numDeriv, parallel",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"tmvnsim","tmvnsim","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0-2",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"tmvtnorm","tmvtnorm","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.4-10",NA,"R (>= 1.9.0), mvtnorm, utils, Matrix, stats4, gmm","stats, methods",NA,"lattice",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"topicmodels","topicmodels","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.2-12",NA,"R (>= 2.15.0)","stats4, methods, modeltools, slam, tm (>= 0.6)",NA,"lasso2, lattice, lda, OAIHarvester, SnowballC,
corpus.JSS.papers",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"triebeard","triebeard","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.3.0",NA,NA,"Rcpp","Rcpp","knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"tripack","tripack","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.3-9.1",NA,NA,NA,NA,NA,NA,"ACM | file LICENSE",NA,"yes",NA,NA,"yes","4.0.2"
"tsibble","tsibble","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0.1",NA,"R (>= 3.2.0)","anytime (>= 0.3.1), dplyr (>= 1.0.0), ellipsis (>= 0.3.0),
generics, lifecycle, lubridate (>= 1.7.0), methods, rlang (>=
0.4.6), tibble (>= 3.0.0), tidyselect (>= 1.0.0), vctrs (>=
0.3.1)",NA,"covr, ggplot2 (>= 3.3.0), hms, knitr, nanotime, nycflights13
(>= 1.0.0), rmarkdown, scales (>= 1.1.0), spelling, testthat
(>= 3.0.0), tidyr (>= 1.1.0), timeDate",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"tweedie","tweedie","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.3.3",NA,"R (>= 2.8.0)",NA,NA,"stabledist, statmod(>= 1.4.20)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"tweenr","tweenr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0.2",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.3), grDevices, farver, magrittr, rlang","Rcpp","testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"tzdb","tzdb","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1.2",NA,"R (>= 3.3)",NA,"cpp11 (>= 0.2.7)","covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"units","units","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.7-2",NA,"R (>= 3.0.2)","Rcpp","Rcpp (>= 0.12.10)","udunits2, NISTunits, measurements, xml2, magrittr, pillar (>=
1.3.0), dplyr (>= 1.0.0), vctrs (>= 0.3.1), knitr, testthat (>=
3.0.0), ggforce, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"unmarked","unmarked","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1.1",NA,"R (>= 2.12.0), methods, lattice","graphics, lme4, MASS, Matrix, parallel, plyr, raster, Rcpp (>=
0.8.0), stats, TMB (>= 1.7.18), utils","Rcpp, RcppArmadillo, TMB",NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.3"
"urltools","urltools","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.7.3",NA,"R (>= 2.10)","Rcpp, methods, triebeard","Rcpp","testthat, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"usethis","usethis","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.0.1",NA,"R (>= 3.2)","cli, clipr (>= 0.3.0), crayon, curl (>= 2.7), desc, fs (>=
1.3.0), gert (>= 1.0.2), gh (>= 1.2.0), glue (>= 1.3.0),
jsonlite, lifecycle, purrr, rappdirs, rlang (>= 0.4.10),
rprojroot (>= 1.2), rstudioapi, stats, utils, whisker, withr
(>= 2.3.0), yaml",NA,"covr, knitr, magick, mockr, rmarkdown, roxygen2, spelling (>=
1.2), styler (>= 1.2.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"utf8","utf8","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2.2",NA,"R (>= 2.10)",NA,NA,"cli, covr, knitr, rlang, rmarkdown, testthat (>= 3.0.0),
withr",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"uuid","uuid","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1-4",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"V8","V8","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","3.4.2",NA,NA,"Rcpp (>= 0.12.12), jsonlite (>= 1.0), curl (>= 1.0), utils","Rcpp","testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"vctrs","vctrs","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.3.8",NA,"R (>= 3.3)","ellipsis (>= 0.2.0), glue, rlang (>= 0.4.10)",NA,"bit64, covr, crayon, dplyr (>= 0.8.5), generics, knitr,
pillar (>= 1.4.4), pkgdown, rmarkdown, testthat (>= 2.3.0),
tibble, withr, xml2, waldo (>= 0.2.0), zeallot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"vegan","vegan","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.5-7",NA,"permute (>= 0.9-0), lattice, R (>= 3.4.0)","MASS, cluster, mgcv",NA,"parallel, tcltk, knitr, markdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"VGAM","VGAM","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1-5",NA,"R (>= 3.5.0), methods, stats, stats4, splines",NA,NA,"VGAMextra, MASS, mgcv","VGAMdata","GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"vipor","vipor","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.4.5",NA,"R (>= 3.0.0)","stats, graphics",NA,"testthat, beeswarm, lattice, ggplot2, beanplot, vioplot,
ggbeeswarm,",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"viridis","viridis","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.6.1",NA,"R (>= 2.10), viridisLite (>= 0.4.0)","stats, ggplot2 (>= 1.0.1), gridExtra",NA,"hexbin (>= 1.27.0), scales, MASS, knitr, dichromat,
colorspace, rasterVis, httr, mapproj, vdiffr, svglite (>=
1.2.0), testthat, covr, rmarkdown, rgdal",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"viridisLite","viridisLite","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.4.0",NA,"R (>= 2.10)",NA,NA,"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"vroom","vroom","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.5.5",NA,"R (>= 3.1)","bit64, crayon, cli, glue, hms, lifecycle, methods, rlang (>=
0.4.2), stats, tibble (>= 2.0.0), tzdb (>= 0.1.1), vctrs (>=
0.2.0), tidyselect, withr","progress (>= 1.2.1), cpp11 (>= 0.2.0), tzdb (>= 0.1.1)","archive, bench (>= 1.1.0), covr, curl, dplyr, forcats, fs,
ggplot2, knitr, patchwork, prettyunits, purrr, rmarkdown,
rstudioapi, scales, spelling, testthat (>= 2.1.0), tidyr,
waldo, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"waiter","waiter","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.2.4",NA,NA,"R6, shiny, htmltools",NA,"httr, knitr, packer, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"waldo","waldo","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.3.1",NA,NA,"cli, diffobj (>= 0.3.4), fansi, glue, methods, rematch2, rlang
(>= 0.4.10), tibble",NA,"testthat (>= 3.0.0), covr, R6, withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"warp","warp","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.2.0",NA,"R (>= 3.2)",NA,NA,"covr, testthat (>= 2.1.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"webdriver","webdriver","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0.6",NA,NA,"callr (>= 3.4.0), base64enc, curl (>= 2.0), debugme, httr,
jsonlite, R6, showimage, utils, withr",NA,"covr, pingr, rprojroot, servr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"webshot","webshot","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.5.2",NA,"R (>= 3.0)","magrittr, jsonlite, callr",NA,"httpuv, knitr, rmarkdown, shiny",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"wellknown","wellknown","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.7.4",NA,NA,"jsonlite, wk, Rcpp","Rcpp, BH","leaflet (>= 1.0.0), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"whisker","whisker","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.4",NA,NA,NA,NA,"markdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"whoami","whoami","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.3.0",NA,NA,"httr, jsonlite, utils",NA,"covr, mockery, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"withr","withr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.4.2",NA,"R (>= 3.2.0)","graphics, grDevices, stats",NA,"covr, DBI, knitr, lattice, methods, rmarkdown, RSQLite,
testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"wk","wk","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.5.0",NA,NA,NA,"cpp11","testthat (>= 3.0.0), vctrs (>= 0.3.0), sf, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"xfun","xfun","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.26",NA,NA,"stats, tools",NA,"testit, parallel, codetools, rstudioapi, tinytex (>= 0.30),
mime, markdown, knitr, htmltools, remotes, pak, rhub, renv,
curl, jsonlite, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"XML","XML","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","3.99-0.9",NA,"R (>= 4.0.0), methods, utils",NA,NA,"bitops, RCurl",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"xml2","xml2","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.3.2",NA,"R (>= 3.1.0)","methods",NA,"covr, curl, httr, knitr, magrittr, mockery, rmarkdown,
testthat (>= 2.1.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
